"","ID_new","PraiseEmpathy1","PraiseEmpathy2","PraiseEmpathy3","PraiseEmpathy4","PraiseEmpathy5","PraiseEmpathy6","PraiseEmpathy7","PraiseEmpathy8","PraiseEmpathy9","PraiseEmpathy10","PraiseEmpathy11","PraiseEmpathy12","PraiseEmpathy13","PraiseEmpathy14","PraiseEmpathy15","PraiseEmpathy1a","PraiseEmpathy2a","PraiseEmpathy3a","PraiseEmpathy4a","PraiseEmpathy5a","PraiseEmpathy6a","PraiseEmpathy7a","PraiseEmpathy8a","PraiseEmpathy9a","PraiseEmpathy10a","PraiseEmpathy11a","PraiseEmpathy12a","PraiseEmpathy13a","PraiseEmpathy14a","PraiseEmpathy15a","Aa","Ba","Ca","Q415","Q427","Q436","Q448","Q460","Q472","Q484","Q496","Q508","Q520","Q532","Q544","Ab_1","Bb_1","Cb_1","Q418_1","Q430_1","Q439_1","Q451_1","Q463_1","Q475_1","Q487_1","Q499_1","Q511_1","Q523_1","Q535_1","Q547_1","Ab_2","Bb_2","Cb_2","Q418_2","Q430_2","Q439_2","Q451_2","Q463_2","Q475_2","Q487_2","Q499_2","Q511_2","Q523_2","Q535_2","Q547_2","Ab_3","Bb_3","Cb_3","Q418_3","Q430_3","Q439_3","Q451_3","Q463_3","Q475_3","Q487_3","Q499_3","Q511_3","Q523_3","Q535_3","Q547_3","Ac","Bc","Cc","Q421","Q433","Q442","Q454","Q466","Q478","Q490","Q502","Q514","Q526","Q538","Q550","attrite_1","attrite_2","attrite_3","attrite_4","attrite_5","attrite_6","attrite_7","attrite_8","attrite_9","attrite_10","attrite_11","attrite_12","attrite_13","attrite_14","attrite_15","firstimage_race","secondimage_race","thirdimage_race","fourthimage_race","fifthimage_race","sixthimage_race","seventhimage_race","eighthimage_race","ninethimage_race","tenthimage_race","eleventhimage_race","twelfthimage_race","thirteenthimage_race","fourteenthimage_race","fifteenthimage_race","firstimage_emotion","secondimage_emotion","thirdimage_emotion","fourthimage_emotion","fifthimage_emotion","sixthimage_emotion","seventhimage_emotion","eighthimage_emotion","ninethimage_emotion","tenthimage_emotion","eleventhimage_emotion","twelfthimage_emotion","thirteenthimage_emotion","fourteenthimage_emotion","fifteenthimage_emotion","ID","Age","Sex","Race","Education","Income","Religion","pres_approval","ideology","Party","post17","BaseEmpathy_1","BaseEmpathy_2","BaseEmpathy_3","BaseEmpathy_4","BaseEmpathy_5","BaseEmpathy_6","BaseEmpathy_7","BaseEmpathy_8","BaseEmpathy_1_n","BaseEmpathy_2_n","BaseEmpathy_3_n","BaseEmpathy_4_n","BaseEmpathy_5_n","BaseEmpathy_6_n","BaseEmpathy_7_n","BaseEmpathy_8_n","BaseEmpathy_perspective","BaseEmpathy_warm","BaseEmpathy_anxiety","BaseEmpathy_imagination","trial","describeORfeel","describeORfeel1","describeORfeel2","describeORfeel3","describeORfeel4","describeORfeel5","describeORfeel6","describeORfeel7","describeORfeel8","describeORfeel9","describeORfeel10","describeORfeel11","describeORfeel12","describeORfeel13","describeORfeel14","describeORfeel15","PraiseEmpathy","PraiseEmpathy_a","text1","text2","text3","text4","therm","attrite","race_randomized","emotion_randomized","describeORfeel_new","race_randomized2","emotion_randomized2","PraiseDescribe_v_Control","trump_approval_n","BaseEmpathy_battery","BaseEmpathy_tercile","text"
"3966",3966,NA,NA,NA,0,NA,1,NA,1,1,NA,NA,0,NA,NA,1,0,0,0,NA,0,1,0,1,1,0,0,NA,0,0,1,"The person is 22, Male and is a White man","This person is 23, a male and white. ","This person seems happy.","This person looks scared.","This person loos like he is surprised about something. ","This person looks like he is scared. ","This person look like he is scared of something. ","This person look like they are angry at someone. ","This person looks surprised about something. ","This person looks scared of something. ","This person looks mad at something. ","This person looks annoyed about something. ","This person looks mad at something. ","This person looks mad at something. ","This person looks surprised about something. ","Millennial ","Young Adult ","Happy","Scared","Surprised ","Scared","Scared","Angry","Surprised","Scared ","Mad ","Annoyed","Angry","Mad","Surprised","Masculine ","Manly","Excited","Frightened","Astonished","Worried","Frightened ","Mad","Astonished","Worried ","Angry ","Mad","Mad","Irritated","Astonished","American ","European ","Friendly","Fearful","Unaware","Frightened","Worried","Disturbed ","Bewildered ","Frightened","Disappointed ","Disgusted","Upset","Upset","Shocked","8","8","8","8","8","8","8","0","8","8","0","8","0","0","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","B","W","W","W","B","W","W","W","W","W","W","B","A","A","F","F","F","F","F","A","F","F","A","A","A","A","F",30,"31-40","Male","Other","High school or equivalent (GED)","25k to less than 50k","Protestant","1","7","Strong Republican",3,"Somewhat describes me","Somewhat describes me","Describes me","Does not describe me","Does not describe me well","Does not describe me","Describes me very well","Describes me very well",3,3,4,2,1,2,5,5,6,6,3,10,"describeORfeel13",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,"This person looks mad at something. ","Angry","Mad","Upset","0",0,"W","A",0.5,0,1,1,7,25,"Low","This person looks mad at something.  Angry Mad Upset"
"3970",3970,0,NA,1,0,NA,NA,0,NA,0,0,1,0,1,NA,0,NA,0,1,NA,0,0,NA,0,NA,NA,1,NA,1,0,NA,"Irritation","man,block african.","anger","man,block african american.","anger","man,white african american.","man,block african american","sad","man, block african american","man. white african american","unnforsunately","man,block african american","sad","Hate","man,white african american","face reaction ","appear","face reaction","Origin","orgin","orgin","orgin","orgin","face reaction ","Origin","orgin","orgin","orgin","orgin","orgin","charecter","face reaction","Origin","face reaction","face reaction","face reaction","face reaction","face reaction","Origin","face reaction","face reaction","face reaction","face reaction","face reaction","face raection","style","style","style","style","style","style","style","style","style","style","style","style","style"," style","style","10","10","10","9","10","9","9","9","9","10","10","7","8","7","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","W","B","W","B","B","B","B","B","B","B","W","W","F","F","A","A","A","F","F","A","A","F","F","F","A","F","A",34,"20-30","Male","Black or African American","Master's degree (MA/MS/MBA)","25k to less than 50k","Muslim","1","7","Strong Republican",1,"Describes me","Describes me very well","Describes me","Describes me very well","Describes me","Describes me very well","Describes me","Describes me very well",4,5,4,5,4,5,4,5,9,9,9,9,"describeORfeel13",1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,"sad","orgin","face reaction","style","8",0,"B","A",0.5,1,1,NA,7,36,"High","sad orgin face reaction style"
"3975",3975,0,1,0,NA,NA,NA,0,1,0,NA,1,1,1,1,NA,NA,1,NA,0,0,0,NA,1,NA,0,1,1,1,1,0,"good","positive","na","good","good","na","good","30,male,hispanic","32,male,black","good","good","good","sad","na","35,male,black","good","good","tension","na","exite","na","na","30","32","33","good","na","sad","na","32","positive","positive","female","na","happy","happy","na","male","male","male","nice","na","na","excite","male","nice","nice","30","na","good","na","na","hispanic","black","black","handsome","na","na","na","black","6","8","7","7","6","7","7","8","6","7","8","7","7","7","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","B","W","W","B","W","B","B","B","W","W","W","W","B","F","A","A","F","F","F","F","F","A","A","F","A","A","F","A",39,"31-40","Female","Other","Bachelor's degree (BA/BS)","25k to less than 50k","Roman Catholic","2","6","Lean Republican",3,"Somewhat describes me","Describes me very well","Describes me","Somewhat describes me","Describes me very well","Describes me","Describes me","Somewhat describes me",3,5,4,3,5,4,4,3,8,7,9,7,"describeORfeel13",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,"sad","sad","na","na","7",0,"W","A",0.5,0,1,NA,6,31,"Medium","sad sad na na"
"3977",3977,NA,NA,1,0,1,1,0,NA,NA,NA,NA,0,0,1,NA,0,0,1,NA,1,1,NA,0,0,0,0,NA,NA,1,0,"The person age was thirty, and he's male,and then white person.","He's shocked.","This person age twenty six and person gender is male and he's block.","He's shocked.","This person age was 28 and he's a male and he's block person.","This person was 35 and her gender is male and he's white person.","He's angry.","This person was 30 and her gender is male, He's a block person.","He's a 39, male ,white person.","He's angry.","He's angry",".","Angry","30,male,block","29,male, white","30","Shocked","26","Shocked","28","35","Angry.","30","39","Angry.","Angry",".","Angry","30","29","male ","Exclaimed","male","Scared","male","male","Sceptical","male","Male","Jaded","Jadad",".","Sculk","male","male","white","Surprised","block","Horrified","block","white","Jaded","block","White","Sceptical","Sulks",".","scepted","block","white","6","8","8","8","8","2","10","8","8","9","9","9","9","9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","B","B","B","W","B","B","W","W","W","B","W","B","W","A","F","A","F","F","F","A","A","A","A","A","A","A","A","F",41,"20-30","Female","White","Bachelor's degree (BA/BS)","25k to less than 50k","Roman Catholic","4","2","Democrat",3,"Somewhat describes me","Describes me","Somewhat describes me","Somewhat describes me","Describes me","Describes me","Somewhat describes me","Describes me",3,4,3,3,4,4,3,4,7,6,8,7,"describeORfeel13",1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,NA,"Angry","Angry","Sculk","scepted","9",0,"W","A",0.5,0,1,0,4,28,"Medium","Angry Angry Sculk scepted"
"3981",3981,NA,NA,0,NA,NA,1,0,1,1,1,1,0,NA,1,1,0,0,NA,0,0,1,NA,1,1,1,1,NA,0,1,1,"28","Bad","Normal","Good","Bad","Good","Good","better","Good","Nice","Nice","Behavior","Good","Nice","Good","28","27","32","31","29","28","32","35","19","32","23","28","23","40","38","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","white","Black","Black","white","Black","Black","White","Black","White","Black","White","Black","Black","Black","White","8","5","7","7","6","7","10","8","8","7","7","8","8","7","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","B","B","W","B","W","B","W","B","B","B","W","A","F","A","F","A","F","A","A","F","F","F","F","F","A","A",45,"31-40","Female","Black or African American","Bachelor's degree (BA/BS)","50k to less than 75k","Roman Catholic","1","7","Strong Republican",4,"Describes me very well","Describes me","Describes me very well","Somewhat describes me","Describes me very well","Describes me","Describes me very well","Describes me",5,4,5,3,5,4,5,4,9,8,9,9,"describeORfeel13",1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,NA,0,"Good","23","Male","Black","8",0,"B","F",0.5,1,0,1,7,35,"High","Good 23 Male Black"
"3993",3993,NA,1,0,1,NA,NA,0,1,1,NA,0,NA,NA,NA,0,0,1,NA,1,0,0,NA,1,1,0,NA,0,0,0,NA,"This person is a young white male in his mid twenties.","This person is a middle aged black male in his thirties.","This person is a young black male in his late twenties.","This person is taken aback by something and seems scared.","This person seems to be pretty excited about something that has been told to him.","This person seems to be disgusted with what he has seen or heard.","This person seems really taken back and surprised in a bad way.","This person seems very perplexed and a little angry.","This person is a young white male in his late twenties.","This person is very surprised and a little scared.","This person seems a little confused about something but also seems angry.","This person is extremely surprised about something.","This person seems like he is very surprised and delighted.","This person seems like he is a little surprised and squeamish.","This person is very, very upset and looks super angry.","young","black","black","scared","surprised","angry","aghast","perplexed","white","suprised","angry","suprised","delighted","squeamish","upset","white","male","male","frightened","excited","disgusted","concerned","confusion","male","confused","confused","aghast","surprised","suprised","angry","male","middle aged","young","surprised","happy","mad","scared","anger","younger","scared","mad","wondering","happy","aghast","frustrated ","5","0","0","1","4","2","5","3","6","7","0","3","5","3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","W","W","W","W","W","W","B","B","B","B","W","F","A","F","F","F","A","F","A","F","F","A","F","F","F","A",57,"31-40","Male","White","Bachelor's degree (BA/BS)","50k to less than 75k","Roman Catholic","1","7","Strong Republican",2,"Describes me","Describes me","Describes me","Describes me very well","Does not describe me well","Does not describe me well","Somewhat describes me","Somewhat describes me",4,4,4,5,1,1,3,3,8,9,2,6,"describeORfeel13",1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,0,"This person seems like he is very surprised and delighted.","delighted","surprised","happy","5",0,"B","F",0.5,1,0,1,7,25,"Low","This person seems like he is very surprised and delighted. delighted surprised happy"
"3995",3995,NA,0,NA,NA,0,0,1,NA,0,NA,1,1,NA,0,NA,0,NA,0,0,NA,NA,1,0,NA,0,1,1,0,NA,0," here is about a 35 year old man that is white","This is about a 25 year old man that is black","he is very surprised and a little afraid! Doesn't know what to do next!","a 25 year old man that is white","White man in his thirties","white male in his thirties","confused, irritated and blaming","This man is black and in his mid thirties","this man is angry, persistant and motivated","fortish man that is black","A white male that is in his twenties","A black man in his twenties","angry focused and blaming","Happy black man","A man in his thirties that is white","younger ","black","nervious","younger","male","white","confused","black","angry","millennial","whte","Black","angry","black","thirties","white ","male","surprised","man","white","male","offended","man","motivated","black","male","Man","focused","man","white","male","younger","confused","white","middle","younger","annoyed","millennial","persistant","male","younger","younger","blaming","thirties","man","8","8","8","9","9","9","8","9","9","8","9","9","9","9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","W","W","W","W","B","W","B","W","B","B","B","W","F","A","F","F","F","A","A","F","A","F","A","A","A","F","A",59,NA,"Female","White","High school or equivalent (GED)","Less than 25k","Protestant","2","7","Republican",4,"Does not describe me","Describes me","Describes me very well","Describes me very well","Somewhat describes me","Describes me","Describes me","Describes me",2,4,5,5,3,4,4,4,6,10,7,8,"describeORfeel13",1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,NA,0,"angry focused and blaming","angry","focused","blaming","9",0,"B","A",0.5,1,1,1,6,31,"Medium","angry focused and blaming angry focused blaming"
"3999",3999,1,0,0,1,1,1,0,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,1,1,1,NA,NA,0,0,0,0,NA,NA,0,"This person is surprised in a bad way. They are anxious/fearful of something that is happening/did happen.","This person is mad, either disappointed or feels betrayed.","This person is very scared of something.","This person is disappointed, it looks like something didn't go the way they wanted it to.","This person is surprised, and slightly fearful.","This person looks distrusting. They look either disappointed or untrusting.","This person is fearful and surprised by something that is happening.","This person looks like they are trying to look happy about something, but they are not actually feeling happiness.","This person is almost neutral. They look slightly worried about something.","This person is stoic and disappointed about something, and slightly sad.","This person looks surprised by something that made them fearful.","This person is very surprised, they are showing slight excitement along with a little bit of concern.","This person is very serious and looks angry at something, like they want revenge.","This person is upset and disappointed by something.","This person is surprised in a good way. They are a little anxious but are clearly excited about something positive that is happening.","anxious","angry","terrified","mad","surprised","distrusting","fearful","wincing","worried","disappointed","fearful","concerned","vengeful","worried","surprised","fearful","betrayed","worried","disappointed","speechless","disappointed","terrified","forced","distrusting","sad","surprised","excited","serious","disappointed","excited","surprised","disappointed","fearful","sad","frightened","on guard","surprised","bracing","serious","let down","shocked","surprised","angry","betrayed","anxious","8","7","9","7","7","7","7","8","7","8","7","7","5","7","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","B","B","W","W","B","W","W","W","W","W","B","B","F","A","F","A","F","A","F","F","A","A","F","F","A","A","F",63,"20-30","Male","White","Some college, but did not complete a degree","25k to less than 50k","Atheist/agnostic","7","1","Independent",3,"Describes me","Describes me","Describes me very well","Describes me very well","Somewhat describes me","Somewhat describes me","Describes me","Describes me",4,4,5,5,3,3,4,4,8,10,6,8,"describeORfeel13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,"This person is very serious and looks angry at something, like they want revenge.","vengeful","serious","angry","5",0,"W","A",0.5,0,1,0,1,32,"Medium","This person is very serious and looks angry at something, like they want revenge. vengeful serious angry"
"4005",4005,1,0,1,1,0,0,0,NA,0,NA,NA,0,1,1,1,1,NA,1,1,NA,NA,NA,0,NA,0,0,NA,1,1,1,"white male in his early twenties with big blue eyes.","a male in his mid-twenties of possible spanish descent, but mostly Caucasian. ","An angry white male in his early twenties.","A white male in his early thirties","A scared white male in early adulthood.","A young adult who is also a white male.","He's feeling surprise and possible joy.","This guy is feeling shocked, almost disbelief. ","He is feeling extremely hostile towards someone","He looks happy and shocked, like he just got a new car.","He feels like he just ate something sour, or saw someone throwing up.","He looks like he just got told bad news and his wife is leaving him.","He feels awkward but also wants to show he's friendly.","He looks like hes in a state of shock, like someone just jumped off a building and landed on HIS new car.","He looks as though he is talking to someone with opposing beliefs but is keeping his mouth shut to be polite so his eyes are angry","young","spanish","white","white","white","early twenties","surprised ","scared","hostile","happy","disgust","sadness","friendly","pain","passive","white","male","male","male","male","white","scared","shocked","angry","relief","contempt","pain","shy","anguish","angry","male","twenties","young","adult","adult","male","shocked","disbelief ","scary","shock","judgement","anger","awkward","disbelief ","quiet","5","6","4","4","6","4","6","6","3","7","6","4","7","7","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","W","W","W","B","W","B","B","B","W","W","W","B","F","F","A","A","F","A","F","F","A","F","A","A","F","F","A",69,"20-30","Male","White","Some college, but did not complete a degree","Less than 25k","Nothing in particular","7","1","Democrat",3,"Describes me","Describes me","Describes me","Describes me","Describes me very well","Does not describe me well","Describes me very well","Describes me",4,4,4,4,5,1,5,4,8,8,6,9,"describeORfeel13",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"He feels awkward but also wants to show he's friendly.","friendly","shy","awkward","7",0,"W","F",0.5,0,0,NA,1,31,"Medium","He feels awkward but also wants to show he's friendly. friendly shy awkward"
"4006",4006,0,0,0,1,0,0,NA,NA,0,NA,0,1,1,0,0,NA,NA,NA,1,NA,NA,0,0,NA,0,NA,1,1,NA,NA,"this person has seen something that's made him mad.","this person is 38, male, and white.","this person is around 30, male, and white.","this person is around 27, a man, and caucasian.","this man is shocked from some sort of unknown situation.","this man appears upset due to some unknown experience.","this man looks focused, but also a bit angry from something.","this man appears quite happy, and possibly surprised.","this man looks like he's pouting and angry.","this man is clearly taken by surprise from something jolting.","this person is around 29, male, and black.","this man appears to be a bit annoyed, and possibly suspicious.","this man appears stressed out.","this man is clearly surprised from something he's seen.","this man appears worried.","angry","man","younger","twenties","startled","bothered","engrossed","chipper","sulking","astounded","african american","skeptical","pressured","shock","anxious","stewing","caucasian ","guy","male","astonished","agitated","aggravated","jolted","distressed","flabbergasted","young","irritable","hassled","amazed","troubled","fretting","young-ish","white","white","dismayed","annoyed","mad","jovial","grouchy","stunned","man","hesitant","strained","bewildered","unease","3","5","5","2","5","0","0","7","1","5","5","5","5","3","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","W","W","W","B","W","B","B","B","B","W","W","W","A","A","F","A","F","A","A","F","A","F","A","A","A","F","F",70,"20-30","Male","White","High school or equivalent (GED)","25k to less than 50k","Nothing in particular","4","4","Independent",1,"Does not describe me","Somewhat describes me","Does not describe me well","Does not describe me well","Does not describe me well","Does not describe me well","Does not describe me","Does not describe me",2,3,1,1,1,1,2,2,5,2,2,4,"describeORfeel13",1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,"this man appears stressed out.","pressured","hassled","strained","5",0,"W","A",0.5,0,1,NA,4,13,"Low","this man appears stressed out. pressured hassled strained"
"4008",4008,NA,NA,NA,0,NA,NA,NA,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,1,0,NA,NA,0,NA,NA,NA,"Confused","MAle","Amazed","Not in mood","Annoyed","30","Sad","31","Angry","28","Stress","27","Disguised","30","confused","Confused","28","Confused","27","Annoyed","30","Sad","31","Angry","28","Stress","27","Disguised","30","Confused","understandable","Male","Amazed","Male","Irritated","Male","Angry","Male","Irritated","Male","Confused","Male","Guilty","Male","Ignoring","Not in mood","White","Surprised","Black","Ignored","White","Irritated","White","Not in mood","Black","Ignoring","Black","annoying","Black","Avoiding","5","4","5","2","3","0","0","0","0","7","2","5","3","4","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","B","W","W","W","W","B","B","W","B","W","B","W","A","F","F","A","F","A","A","A","A","F","A","F","F","F","A",72,"31-40","Male","White","Master's degree (MA/MS/MBA)","75k to less than 100k","Roman Catholic","2","6","Republican",3,"Does not describe me","Somewhat describes me","Somewhat describes me","Describes me",NA,"Does not describe me","Somewhat describes me","Describes me",2,3,3,4,NA,2,3,4,5,7,NA,7,"describeORfeel13",1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,NA,"Disguised","Disguised","Guilty","annoying","3",0,"W","F",0.5,0,0,0,6,NA,NA,"Disguised Disguised Guilty annoying"
"4013",4013,NA,NA,0,1,NA,1,1,NA,NA,1,0,NA,1,1,1,0,0,NA,1,0,1,1,0,0,1,NA,0,1,1,1,"32 , MALE , BLACK","36 , MALE , BLACK","38 , MALE , BLACK","38 , MALE , BLACK","32 , MALE , WHITE","THIS PERSON IS VERY DISGUSTING LOOK ","SHOCKING EXPRESSION","26","HE LOOKS LIKE BAD EYE CONTACT I DON'T LIKE THIS","28 , MALE , BLACK","28 , MALE , WHITE","HE LOOK VERY DISGUSTING AND BAD  I DON'T LIKE","HE LOOK LIKE VERY ANGER I DON'T THIS TYPE OF ENERGY","30 , MALE , BLACK","31 , MALE , BLACK","SHOCKING","YOUNG","YOUNG","FUNNY","YOUNG","BLACK","SHOCKING","26","WHITE","FUNNY","GOOD ","BLACK","WHITE ","BAD","BAD","NEGATIVE","DISGUSTING","ANGER","CRY","DISGUSTING","FEEL BAD","WHITE","MALE","UGLY","NEGATIVE","NEGATIVE","UGLY","YOUNG","I DON'T LIKE ","UGLY","BAD","BAD","GOOD","FEAR","UGLY","NEGATIVE","NEGATIVE","WHITE","NEGATIVE","LOOK LIKE BAD","LOOK LIKE VERY UGLY","I DON'T LIKE","I DON'T LIKE","NEGATIVE","YOUNG","4","4","3","3","6","3","4","7","7","2","7","3","7","7","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","B","W","B","B","W","B","B","W","B","B","B","B","F","A","A","F","A","A","F","F","A","F","A","A","A","A","F",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"describeORfeel13",1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,"HE LOOK LIKE VERY ANGER I DON'T THIS TYPE OF ENERGY","WHITE ","YOUNG","I DON'T LIKE","7",0,"B","A",0.5,1,1,NA,NA,NA,NA,"HE LOOK LIKE VERY ANGER I DON'T THIS TYPE OF ENERGY WHITE  YOUNG I DON'T LIKE"
"4015",4015,1,0,NA,0,1,0,NA,1,1,0,NA,NA,1,1,0,1,NA,0,NA,1,NA,0,1,1,NA,0,0,1,1,NA,"This person is around 30, male, and white.","This person is very surprised.","This person is young, male, and black.","This person is around 30, male, and white.","This person seems very distressed and upset.","This person is angry at someone or something.","This person is surprised.","This person is around 30, black, and male.","This person is angry and frustrated.","This person is frustrated and confused.","This person is about 30, male, and white.","This person is very angry and upset.","This person is surprised by something.","This person is surprised and confused.","This person is upset and grumpy about something.","30ish","surprise","young","30s","distress","anger","surprise","30ish","anger","frustration","30ish","anger","surprise","confusion","upset","male","shock","male","male","uncomfortable","upset","shock","male","frustration","confusion","male","frustration","excitement","surprise","angry","white","excitement","black","white","upset","frustrated","disbelief","black","upset","anger","white","disappointment","alertness","bewilderment","disappointed","4","5","5","5","6","4","5","5","4","5","5","4","5","5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","B","W","W","B","B","B","W","B","W","B","W","B","B","A","F","A","A","F","A","F","F","A","A","A","A","F","F","A",79,"20-30","Female","White","Bachelor's degree (BA/BS)","75k to less than 100k","Atheist/agnostic","7","2","Lean Democrat",4,"Describes me","Describes me very well","Describes me very well","Describes me","Describes me very well","Does not describe me","Describes me very well","Describes me very well",4,5,5,4,5,2,5,5,9,9,7,10,"describeORfeel13",1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,"This person is surprised by something.","surprise","excitement","alertness","5",0,"W","F",0.5,0,0,NA,1,35,"High","This person is surprised by something. surprise excitement alertness"
"4016",4016,0,NA,1,NA,1,0,1,NA,0,1,NA,0,1,0,NA,NA,0,1,0,1,NA,1,0,NA,1,0,NA,1,NA,0,"He is a 20 year old black male.","He is worried, thinking, disturbed.","He is sad, lonely, and contemplating.","He is worried, fearful and disturbed.","He is expecting, hopeful and thoughtful.","He is worried, thinking and disturbed.","He is sad, lonely, contemplating.","He is expecting, hopeful, thoughtful.","He is sad, lonely, contemplating.","He is worried, thinking, disturbed ","He is expecting, hopeful, thoughtful","He is expecting, hopeful, thoughtful","He is sad, lonely, contemplating","He is  worried, thinking, disturbed ","He is expecting, hopeful, thoughtful","young","disturbed ","sad","worried","expecting","worried","sad","hopeful","lonely","worried","thoughtful","expecting","contemplating","thinking","thoughtful","male","thinking","lonely","fearful","hopeful","thinking","lonely","thoughtful","contemplating"," thinking","expecting","hopeful","sad","disturbed ","expecting","black","worried","contemplating","disturbed","thoughtful","disturbed ","contemplating"," expecting","sad","disturbed ","hopeful","thoughtful","lonely","disturbed "," hopeful,","9","7","7","6","9","6","7","8","6","7","8","8","8","5","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","W","B","W","W","B","W","W","W","B","W","W","B","F","F","A","F","A","F","A","A","A","A","A","A","A","F","A",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"describeORfeel13",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"He is sad, lonely, contemplating","contemplating","sad","lonely","8",0,"W","A",0.5,0,1,NA,NA,NA,NA,"He is sad, lonely, contemplating contemplating sad lonely"
"4020",4020,1,NA,1,1,0,0,NA,0,0,0,1,0,NA,0,NA,1,0,1,1,NA,NA,0,NA,NA,NA,1,NA,0,NA,0,"the describer is male and 25 years of age and maybe asian","feeling very surprise","he is crying","feeling bad","the person is male and 27 years of age and may black","25 years aged male feeling in question tag","this person may american and age around 27 male","feeling emotion","feeling bad","emotional and surprising ","30 years old american male","unlikely feeling ","surprising male and emotional","male aged 30 hispanic","feeling bad","25 in age","surprise","feeling bad","feeling bad","27","male","27","emotion","feeling bad","emotion","30","unlike","awful","30","unlike","male","awful","crying","unliking","black ","25","male","nerves ","angry","surprise ","male","angry","feel emotion","hispanic","bad","asian","exiting","sad","sad","male","american ","Hispanic","shock","unlike","good","hispanic","sad","shock","male","worse","9","8","7","2","3","6","3","4","4","6","7","4","7","6","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","B","B","W","W","B","W","B","W","B","W","W","B","F","F","F","A","A","A","A","F","A","F","F","A","F","A","F",84,"20-30","Male","Black or African American","Bachelor's degree (BA/BS)","75k to less than 100k","Roman Catholic","2","4","Lean Republican",3,"Describes me","Describes me very well","Describes me","Describes me","Describes me very well","Describes me very well","Describes me","Describes me",4,5,4,4,5,5,4,4,9,8,10,8,"describeORfeel13",1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,NA,0,"surprising male and emotional","awful","feel emotion","shock","7",0,"W","F",0.5,0,0,1,6,35,"High","surprising male and emotional awful feel emotion shock"
